I, [2011-08-22T14:25:48.181023 #25430]  INFO -- : (0.036070s) SELECT * FROM `users` WHERE `id` = 1
I, [2011-08-22T14:31:49.240654 #25498]  INFO -- : (0.054264s) SELECT * FROM `guest_users` WHERE (`id` = 2412324) LIMIT 1
I, [2011-08-22T14:31:49.279909 #25498]  INFO -- : (0.038428s) SELECT * FROM `guest_users` WHERE (`id` = 2412189) LIMIT 1
I, [2011-08-22T14:31:49.319617 #25498]  INFO -- : (0.038985s) SELECT * FROM `guest_users` WHERE (`id` = 2411887) LIMIT 1
I, [2011-08-22T14:31:49.355234 #25498]  INFO -- : (0.034926s) SELECT * FROM `guest_users` WHERE (`id` = 2411671) LIMIT 1
I, [2011-08-22T14:31:49.403032 #25498]  INFO -- : (0.046664s) SELECT * FROM `users` WHERE (`users`.`id` = 982251) LIMIT 1
I, [2011-08-22T14:31:49.439922 #25498]  INFO -- : (0.035593s) SELECT * FROM `guest_users` WHERE (`id` = 2409116) LIMIT 1
I, [2011-08-22T14:31:49.480295 #25498]  INFO -- : (0.039458s) SELECT * FROM `guest_users` WHERE (`id` = 2407027) LIMIT 1
I, [2011-08-22T14:31:49.540579 #25498]  INFO -- : (0.059022s) SELECT * FROM `guest_users` WHERE (`id` = 2399389) LIMIT 1
I, [2011-08-22T14:31:49.580689 #25498]  INFO -- : (0.038992s) SELECT * FROM `guest_users` WHERE (`id` = 2398031) LIMIT 1
I, [2011-08-22T14:31:49.619240 #25498]  INFO -- : (0.037833s) SELECT * FROM `guest_users` WHERE (`id` = 2397245) LIMIT 1
I, [2011-08-22T14:31:49.658226 #25498]  INFO -- : (0.038110s) SELECT * FROM `guest_users` WHERE (`id` = 2396563) LIMIT 1
I, [2011-08-22T14:31:49.739967 #25498]  INFO -- : (0.053216s) SELECT `videos`.`created_at`, `videos`.`comment`, `videos`.`embed_tag`, `videos`.`primary_groupvideo_id`, `videos`.`id`, `videos`.`flv_media`, `videos`.`up_votes_count`, `videos`.`thumbnail`, `videos`.`title`, `videos`.`total_views`, `videos`.`orig_title`, `videos`.`description`, `videos`.`media`, `videos`.`id` FROM `videos` WHERE (`videos`.`id` = '19517') ORDER BY `videos`.`id` LIMIT 1
I, [2011-08-22T14:31:49.776045 #25498]  INFO -- : (0.033294s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 20521) LIMIT 1
I, [2011-08-22T14:31:49.815413 #25498]  INFO -- : (0.037970s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 20521) LIMIT 1
I, [2011-08-22T14:31:49.855025 #25498]  INFO -- : (0.037513s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 20521) LIMIT 1
I, [2011-08-22T14:31:49.892513 #25498]  INFO -- : (0.035981s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 20521) LIMIT 1
I, [2011-08-22T14:31:49.926829 #25498]  INFO -- : (0.031577s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 19517) LIMIT 1
I, [2011-08-22T14:31:49.965625 #25498]  INFO -- : (0.037866s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 19517) LIMIT 1
I, [2011-08-22T14:31:50.080325 #25498]  INFO -- : (0.112467s) SELECT * FROM (SELECT * FROM `group_audits` WHERE ((`video_id` = 19517) AND (`group_audits`.`action` = 'review_video')) UNION SELECT * FROM `group_audits` WHERE ((`video_id` = 19517) AND (`group_audits`.`action` = 'add_video') AND (length(`group_audits`.`text`) > 0))) AS `t1` ORDER BY `created_at` DESC LIMIT 12
I, [2011-08-22T14:31:50.121806 #25498]  INFO -- : (0.038223s) SELECT * FROM `users` WHERE (`users`.`id` = 994231) LIMIT 1
I, [2011-08-22T14:31:50.162408 #25498]  INFO -- : (0.038241s) SELECT * FROM `users` WHERE (`users`.`id` = 11221) LIMIT 1
I, [2011-08-22T14:31:50.236243 #25498]  INFO -- : (0.071752s) SELECT * FROM `users` WHERE (`users`.`id` = 8) LIMIT 1
I, [2011-08-22T14:31:50.276083 #25498]  INFO -- : (0.038188s) SELECT * FROM `users` WHERE (`users`.`id` = 742445) LIMIT 1
I, [2011-08-22T14:31:50.314750 #25498]  INFO -- : (0.036519s) SELECT * FROM `guest_users` WHERE (`id` = 663358) LIMIT 1
I, [2011-08-22T14:31:50.359068 #25498]  INFO -- : (0.043033s) SELECT * FROM `users` WHERE (`users`.`id` = 474640) LIMIT 1
I, [2011-08-22T14:31:50.397223 #25498]  INFO -- : (0.036517s) SELECT * FROM `users` WHERE (`users`.`id` = 375848) LIMIT 1
I, [2011-08-22T14:31:50.512730 #25498]  INFO -- : (0.113684s) SELECT * FROM `users` WHERE (`users`.`id` = 372104) LIMIT 1
I, [2011-08-22T14:31:50.552318 #25498]  INFO -- : (0.037913s) SELECT * FROM `users` WHERE (`users`.`id` = 71807) LIMIT 1
I, [2011-08-22T14:31:50.593527 #25498]  INFO -- : (0.039632s) SELECT * FROM `users` WHERE (`users`.`id` = 43853) LIMIT 1
I, [2011-08-22T14:31:50.632599 #25498]  INFO -- : (0.037487s) SELECT * FROM `users` WHERE (`users`.`id` = 55786) LIMIT 1
I, [2011-08-22T14:31:50.674767 #25498]  INFO -- : (0.040404s) SELECT * FROM `users` WHERE (`users`.`id` = 52992) LIMIT 1
I, [2011-08-22T14:31:50.738992 #25498]  INFO -- : (0.033505s) SELECT `videos`.`created_at`, `videos`.`comment`, `videos`.`embed_tag`, `videos`.`primary_groupvideo_id`, `videos`.`id`, `videos`.`flv_media`, `videos`.`up_votes_count`, `videos`.`thumbnail`, `videos`.`title`, `videos`.`total_views`, `videos`.`orig_title`, `videos`.`description`, `videos`.`media` FROM `videos` WHERE (`videos`.`id` = 'electro') ORDER BY `videos`.`id` LIMIT 1
I, [2011-08-22T14:31:50.798815 #25498]  INFO -- : (0.057833s) SELECT `videos`.`created_at`, `videos`.`comment`, `videos`.`embed_tag`, `videos`.`primary_groupvideo_id`, `videos`.`id`, `videos`.`flv_media`, `videos`.`up_votes_count`, `videos`.`thumbnail`, `videos`.`title`, `videos`.`total_views`, `videos`.`orig_title`, `videos`.`description`, `videos`.`media` FROM `videos` WHERE (`videos`.`id` = 'electro') ORDER BY `videos`.`id` LIMIT 1
I, [2011-08-22T14:31:50.901199 #25498]  INFO -- : (0.085078s) SELECT `videos`.`created_at`, `videos`.`comment`, `videos`.`embed_tag`, `videos`.`primary_groupvideo_id`, `videos`.`id`, `videos`.`flv_media`, `videos`.`up_votes_count`, `videos`.`thumbnail`, `videos`.`title`, `videos`.`total_views`, `videos`.`orig_title`, `videos`.`description`, `videos`.`media`, `videos`.`id` FROM `videos` WHERE (`videos`.`id` = '1342733') ORDER BY `videos`.`id` LIMIT 1
I, [2011-08-22T14:31:50.941521 #25498]  INFO -- : (0.036998s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2062287) LIMIT 1
I, [2011-08-22T14:31:50.981979 #25498]  INFO -- : (0.038951s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2062287) LIMIT 1
I, [2011-08-22T14:31:51.021448 #25498]  INFO -- : (0.037527s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2062287) LIMIT 1
I, [2011-08-22T14:31:51.071274 #25498]  INFO -- : (0.048615s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2062287) LIMIT 1
I, [2011-08-22T14:31:51.114022 #25498]  INFO -- : (0.038873s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 1342733) LIMIT 1
I, [2011-08-22T14:31:51.166040 #25498]  INFO -- : (0.050937s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 1342733) LIMIT 1
I, [2011-08-22T14:31:51.213181 #25498]  INFO -- : (0.045223s) SELECT `tags`.* FROM `tags` INNER JOIN `video_taggings` ON ((`video_taggings`.`tag_id` = `tags`.`id`) AND (`video_taggings`.`record_id` = 1342733)) LIMIT 12
I, [2011-08-22T14:31:51.273078 #25498]  INFO -- : (0.058416s) SELECT `users`.* FROM `users` INNER JOIN `groupvideos` ON ((`groupvideos`.`user_id` = `users`.`id`) AND (`groupvideos`.`video_id` = 1342733)) LIMIT 12
I, [2011-08-22T14:31:51.327474 #25498]  INFO -- : (0.034217s) SELECT `videos`.`created_at`, `videos`.`comment`, `videos`.`embed_tag`, `videos`.`primary_groupvideo_id`, `videos`.`id`, `videos`.`flv_media`, `videos`.`up_votes_count`, `videos`.`thumbnail`, `videos`.`title`, `videos`.`total_views`, `videos`.`orig_title`, `videos`.`description`, `videos`.`media`, `videos`.`groupvideos_count` FROM `videos` WHERE (`videos`.`id` = '1342323') ORDER BY `videos`.`id` LIMIT 1
I, [2011-08-22T14:31:51.366068 #25498]  INFO -- : (0.035210s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2061550) LIMIT 1
I, [2011-08-22T14:31:51.407783 #25498]  INFO -- : (0.040009s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2061550) LIMIT 1
I, [2011-08-22T14:31:51.452262 #25498]  INFO -- : (0.042771s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2061550) LIMIT 1
I, [2011-08-22T14:31:51.494943 #25498]  INFO -- : (0.041236s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2061550) LIMIT 1
I, [2011-08-22T14:31:51.599985 #25498]  INFO -- : (0.102407s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 1342323) LIMIT 1
I, [2011-08-22T14:31:51.657702 #25498]  INFO -- : (0.056935s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 1342323) LIMIT 1
I, [2011-08-22T14:31:51.692250 #25498]  INFO -- : (0.032605s) SELECT COUNT(*) AS `count` FROM `groups` INNER JOIN `groupvideos` ON ((`groupvideos`.`group_id` = `groups`.`id`) AND (`groupvideos`.`video_id` = 1342323)) LIMIT 1
I, [2011-08-22T14:31:51.750799 #25498]  INFO -- : (0.033691s) SELECT `videos`.`created_at`, `videos`.`comment`, `videos`.`embed_tag`, `videos`.`primary_groupvideo_id`, `videos`.`id`, `videos`.`flv_media`, `videos`.`up_votes_count`, `videos`.`thumbnail`, `videos`.`title`, `videos`.`total_views`, `videos`.`orig_title`, `videos`.`description`, `videos`.`media` FROM `videos` WHERE (`videos`.`id` = '1445599') ORDER BY `videos`.`id` LIMIT 1
I, [2011-08-22T14:31:51.807905 #25498]  INFO -- : (0.053944s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2239927) LIMIT 1
I, [2011-08-22T14:31:51.845665 #25498]  INFO -- : (0.035693s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2239927) LIMIT 1
I, [2011-08-22T14:31:51.885814 #25498]  INFO -- : (0.037942s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2239927) LIMIT 1
I, [2011-08-22T14:31:51.925379 #25498]  INFO -- : (0.038113s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2239927) LIMIT 1
I, [2011-08-22T14:31:52.037183 #25498]  INFO -- : (0.034170s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 1445599) LIMIT 1
I, [2011-08-22T14:31:52.074347 #25498]  INFO -- : (0.036286s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 1445599) LIMIT 1
I, [2011-08-22T14:31:52.133744 #25498]  INFO -- : (0.039715s) SELECT * FROM `tags` WHERE (`name` = 'funny')
I, [2011-08-22T14:31:52.203828 #25498]  INFO -- : (0.064391s) SELECT `videos`.`created_at`, `videos`.`comment`, `videos`.`embed_tag`, `videos`.`primary_groupvideo_id`, `videos`.`id`, `videos`.`flv_media`, `videos`.`up_votes_count`, `videos`.`thumbnail`, `videos`.`title`, `videos`.`total_views`, `videos`.`orig_title`, `videos`.`description`, `videos`.`media`, `videos`.`groupvideos_count`, `videos`.`total_external_views`, `videos`.`updated_at`, `videos`.`weekly_views`, `videos`.`id` FROM `videos` INNER JOIN `video_taggings` ON ((`video_taggings`.`record_id` = `videos`.`id`) AND (`video_taggings`.`tag_id` = 202)) ORDER BY `video_taggings`.`record_created_at` DESC LIMIT 10
I, [2011-08-22T14:31:52.258008 #25498]  INFO -- : (0.043095s) SELECT `groups`.*, `groupvideos`.`video_id` AS `x_foreign_key_x` FROM `groups` INNER JOIN `groupvideos` ON ((`groupvideos`.`group_id` = `groups`.`id`) AND (`groupvideos`.`video_id` IN (4795470, 4795308, 4795173, 4795104, 4795075, 4794920, 4794884, 4794811, 4794648, 4794417)))
I, [2011-08-22T14:31:52.318391 #25498]  INFO -- : (0.054884s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`video_id` IN (4795470, 4795308, 4795173, 4795104, 4795075, 4794920, 4794884, 4794811, 4794648, 4794417))
I, [2011-08-22T14:31:52.524855 #25498]  INFO -- : (0.199283s) SELECT * FROM `group_audits` WHERE (`group_audits`.`video_id` IN (4795470, 4795308, 4795173, 4795104, 4795075, 4794920, 4794884, 4794811, 4794648, 4794417)) ORDER BY `created_at` DESC
I, [2011-08-22T14:31:52.579050 #25498]  INFO -- : (0.051009s) SELECT `tags`.*, `video_taggings`.`record_id` AS `x_foreign_key_x` FROM `tags` INNER JOIN `video_taggings` ON ((`video_taggings`.`tag_id` = `tags`.`id`) AND (`video_taggings`.`record_id` IN (4795470, 4795308, 4795173, 4795104, 4795075, 4794920, 4794884, 4794811, 4794648, 4794417)))
I, [2011-08-22T14:31:52.657899 #25498]  INFO -- : (0.076417s) SELECT `users`.*, `groupvideos`.`video_id` AS `x_foreign_key_x` FROM `users` INNER JOIN `groupvideos` ON ((`groupvideos`.`user_id` = `users`.`id`) AND (`groupvideos`.`video_id` IN (4795470, 4795308, 4795173, 4795104, 4795075, 4794920, 4794884, 4794811, 4794648, 4794417)))
I, [2011-08-22T14:31:52.716845 #25498]  INFO -- : (0.053229s) SELECT `videos`.`created_at`, `videos`.`comment`, `videos`.`embed_tag`, `videos`.`primary_groupvideo_id`, `videos`.`id`, `videos`.`flv_media`, `videos`.`up_votes_count`, `videos`.`thumbnail`, `videos`.`title`, `videos`.`total_views`, `videos`.`orig_title`, `videos`.`description`, `videos`.`media`, `videos`.`groupvideos_count`, `videos`.`total_external_views`, `videos`.`updated_at`, `videos`.`weekly_views`, `videos`.`id` FROM `videos` INNER JOIN `video_taggings` ON ((`video_taggings`.`record_id` = `videos`.`id`) AND (`video_taggings`.`tag_id` = 202)) ORDER BY `video_taggings`.`record_created_at` DESC LIMIT 10
I, [2011-08-22T14:31:52.771624 #25498]  INFO -- : (0.050812s) SELECT `groups`.*, `groupvideos`.`video_id` AS `x_foreign_key_x` FROM `groups` INNER JOIN `groupvideos` ON ((`groupvideos`.`group_id` = `groups`.`id`) AND (`groupvideos`.`video_id` IN (4795470, 4795308, 4795173, 4795104, 4795075, 4794920, 4794884, 4794811, 4794648, 4794417)))
I, [2011-08-22T14:31:52.847671 #25498]  INFO -- : (0.071948s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`video_id` IN (4795470, 4795308, 4795173, 4795104, 4795075, 4794920, 4794884, 4794811, 4794648, 4794417))
I, [2011-08-22T14:31:52.907542 #25498]  INFO -- : (0.055883s) SELECT * FROM `group_audits` WHERE (`group_audits`.`video_id` IN (4795470, 4795308, 4795173, 4795104, 4795075, 4794920, 4794884, 4794811, 4794648, 4794417)) ORDER BY `created_at` DESC
I, [2011-08-22T14:31:52.953164 #25498]  INFO -- : (0.043071s) SELECT `tags`.*, `video_taggings`.`record_id` AS `x_foreign_key_x` FROM `tags` INNER JOIN `video_taggings` ON ((`video_taggings`.`tag_id` = `tags`.`id`) AND (`video_taggings`.`record_id` IN (4795470, 4795308, 4795173, 4795104, 4795075, 4794920, 4794884, 4794811, 4794648, 4794417)))
I, [2011-08-22T14:31:53.006706 #25498]  INFO -- : (0.051711s) SELECT `users`.*, `groupvideos`.`video_id` AS `x_foreign_key_x` FROM `users` INNER JOIN `groupvideos` ON ((`groupvideos`.`user_id` = `users`.`id`) AND (`groupvideos`.`video_id` IN (4795470, 4795308, 4795173, 4795104, 4795075, 4794920, 4794884, 4794811, 4794648, 4794417)))
I, [2011-08-22T14:31:53.052421 #25498]  INFO -- : (0.039333s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383779) LIMIT 1
I, [2011-08-22T14:31:53.106070 #25498]  INFO -- : (0.052264s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383779) LIMIT 1
I, [2011-08-22T14:31:53.187985 #25498]  INFO -- : (0.080425s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383779) LIMIT 1
I, [2011-08-22T14:31:53.236354 #25498]  INFO -- : (0.047126s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383779) LIMIT 1
I, [2011-08-22T14:31:53.343613 #25498]  INFO -- : (0.104983s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4795470) LIMIT 1
I, [2011-08-22T14:31:53.389703 #25498]  INFO -- : (0.045179s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4795470) LIMIT 1
I, [2011-08-22T14:31:53.423333 #25498]  INFO -- : (0.032093s) SELECT COUNT(*) AS `count` FROM `groups` INNER JOIN `groupvideos` ON ((`groupvideos`.`group_id` = `groups`.`id`) AND (`groupvideos`.`video_id` = 4795470)) LIMIT 1
I, [2011-08-22T14:31:53.468223 #25498]  INFO -- : (0.042691s) SELECT * FROM `users` WHERE (`users`.`id` = 958792) LIMIT 1
I, [2011-08-22T14:31:53.559917 #25498]  INFO -- : (0.089797s) SELECT * FROM `groups` WHERE (`groups`.`id` = 998068) LIMIT 1
I, [2011-08-22T14:31:53.598794 #25498]  INFO -- : (0.035957s) SELECT COUNT(*) AS `count` FROM (SELECT * FROM `group_audits` WHERE ((`video_id` = 4795470) AND (`group_audits`.`action` = 'review_video')) UNION SELECT * FROM `group_audits` WHERE ((`video_id` = 4795470) AND (`group_audits`.`action` = 'add_video') AND (length(`group_audits`.`text`) > 0))) AS `t1` LIMIT 1
I, [2011-08-22T14:31:53.657100 #25498]  INFO -- : (0.057483s) SELECT * FROM `users` WHERE (`users`.`id` = 958792) LIMIT 1
I, [2011-08-22T14:31:53.692507 #25498]  INFO -- : (0.032571s) SELECT COUNT(*) AS `count` FROM `tags` INNER JOIN `video_taggings` ON ((`video_taggings`.`tag_id` = `tags`.`id`) AND (`video_taggings`.`record_id` = 4795470)) LIMIT 1
I, [2011-08-22T14:31:53.731781 #25498]  INFO -- : (0.037948s) SELECT COUNT(*) AS `count` FROM `users` INNER JOIN `groupvideos` ON ((`groupvideos`.`user_id` = `users`.`id`) AND (`groupvideos`.`video_id` = 4795470)) LIMIT 1
I, [2011-08-22T14:31:53.777692 #25498]  INFO -- : (0.044132s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383528) LIMIT 1
I, [2011-08-22T14:31:53.821660 #25498]  INFO -- : (0.042498s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383528) LIMIT 1
I, [2011-08-22T14:31:53.861467 #25498]  INFO -- : (0.038074s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383528) LIMIT 1
I, [2011-08-22T14:31:53.907073 #25498]  INFO -- : (0.044138s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383528) LIMIT 1
I, [2011-08-22T14:31:54.002979 #25498]  INFO -- : (0.093927s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4795308) LIMIT 1
I, [2011-08-22T14:31:54.038667 #25498]  INFO -- : (0.034976s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4795308) LIMIT 1
I, [2011-08-22T14:31:54.081923 #25498]  INFO -- : (0.041740s) SELECT COUNT(*) AS `count` FROM `groups` INNER JOIN `groupvideos` ON ((`groupvideos`.`group_id` = `groups`.`id`) AND (`groupvideos`.`video_id` = 4795308)) LIMIT 1
I, [2011-08-22T14:31:54.122028 #25498]  INFO -- : (0.038488s) SELECT * FROM `users` WHERE (`users`.`id` = 875855) LIMIT 1
I, [2011-08-22T14:31:54.161841 #25498]  INFO -- : (0.038031s) SELECT * FROM `groups` WHERE (`groups`.`id` = 911891) LIMIT 1
I, [2011-08-22T14:31:54.203186 #25498]  INFO -- : (0.039036s) SELECT COUNT(*) AS `count` FROM (SELECT * FROM `group_audits` WHERE ((`video_id` = 4795308) AND (`group_audits`.`action` = 'review_video')) UNION SELECT * FROM `group_audits` WHERE ((`video_id` = 4795308) AND (`group_audits`.`action` = 'add_video') AND (length(`group_audits`.`text`) > 0))) AS `t1` LIMIT 1
I, [2011-08-22T14:31:54.241650 #25498]  INFO -- : (0.037668s) SELECT * FROM `users` WHERE (`users`.`id` = 875855) LIMIT 1
I, [2011-08-22T14:31:54.282230 #25498]  INFO -- : (0.038252s) SELECT COUNT(*) AS `count` FROM `tags` INNER JOIN `video_taggings` ON ((`video_taggings`.`tag_id` = `tags`.`id`) AND (`video_taggings`.`record_id` = 4795308)) LIMIT 1
I, [2011-08-22T14:31:54.317509 #25498]  INFO -- : (0.033710s) SELECT COUNT(*) AS `count` FROM `users` INNER JOIN `groupvideos` ON ((`groupvideos`.`user_id` = `users`.`id`) AND (`groupvideos`.`video_id` = 4795308)) LIMIT 1
I, [2011-08-22T14:31:54.355667 #25498]  INFO -- : (0.037021s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383309) LIMIT 1
I, [2011-08-22T14:31:54.397086 #25498]  INFO -- : (0.039952s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383309) LIMIT 1
I, [2011-08-22T14:31:54.463564 #25498]  INFO -- : (0.064572s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383309) LIMIT 1
I, [2011-08-22T14:31:54.511506 #25498]  INFO -- : (0.046441s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383309) LIMIT 1
I, [2011-08-22T14:31:54.546558 #25498]  INFO -- : (0.033066s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4795173) LIMIT 1
I, [2011-08-22T14:31:54.594624 #25498]  INFO -- : (0.047329s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4795173) LIMIT 1
I, [2011-08-22T14:31:54.632422 #25498]  INFO -- : (0.036221s) SELECT COUNT(*) AS `count` FROM `groups` INNER JOIN `groupvideos` ON ((`groupvideos`.`group_id` = `groups`.`id`) AND (`groupvideos`.`video_id` = 4795173)) LIMIT 1
I, [2011-08-22T14:31:54.672379 #25498]  INFO -- : (0.038549s) SELECT * FROM `users` WHERE (`users`.`id` = 791209) LIMIT 1
I, [2011-08-22T14:31:54.710558 #25498]  INFO -- : (0.036331s) SELECT * FROM `groups` WHERE (`groups`.`id` = 824999) LIMIT 1
I, [2011-08-22T14:31:54.758225 #25498]  INFO -- : (0.045526s) SELECT COUNT(*) AS `count` FROM (SELECT * FROM `group_audits` WHERE ((`video_id` = 4795173) AND (`group_audits`.`action` = 'review_video')) UNION SELECT * FROM `group_audits` WHERE ((`video_id` = 4795173) AND (`group_audits`.`action` = 'add_video') AND (length(`group_audits`.`text`) > 0))) AS `t1` LIMIT 1
I, [2011-08-22T14:31:54.796987 #25498]  INFO -- : (0.037761s) SELECT * FROM `users` WHERE (`users`.`id` = 791209) LIMIT 1
I, [2011-08-22T14:31:54.832158 #25498]  INFO -- : (0.033089s) SELECT COUNT(*) AS `count` FROM `tags` INNER JOIN `video_taggings` ON ((`video_taggings`.`tag_id` = `tags`.`id`) AND (`video_taggings`.`record_id` = 4795173)) LIMIT 1
I, [2011-08-22T14:31:54.867981 #25498]  INFO -- : (0.034538s) SELECT COUNT(*) AS `count` FROM `users` INNER JOIN `groupvideos` ON ((`groupvideos`.`user_id` = `users`.`id`) AND (`groupvideos`.`video_id` = 4795173)) LIMIT 1
I, [2011-08-22T14:31:54.907100 #25498]  INFO -- : (0.038139s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383198) LIMIT 1
I, [2011-08-22T14:31:54.953501 #25498]  INFO -- : (0.045075s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383198) LIMIT 1
I, [2011-08-22T14:31:54.991343 #25498]  INFO -- : (0.036337s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383198) LIMIT 1
I, [2011-08-22T14:31:55.034891 #25498]  INFO -- : (0.042074s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383198) LIMIT 1
I, [2011-08-22T14:31:55.081443 #25498]  INFO -- : (0.044126s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4795104) LIMIT 1
I, [2011-08-22T14:31:55.121652 #25498]  INFO -- : (0.039170s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4795104) LIMIT 1
I, [2011-08-22T14:31:55.158244 #25498]  INFO -- : (0.034459s) SELECT COUNT(*) AS `count` FROM `groups` INNER JOIN `groupvideos` ON ((`groupvideos`.`group_id` = `groups`.`id`) AND (`groupvideos`.`video_id` = 4795104)) LIMIT 1
I, [2011-08-22T14:31:55.210646 #25498]  INFO -- : (0.050650s) SELECT * FROM `users` WHERE (`users`.`id` = 995861) LIMIT 1
I, [2011-08-22T14:31:55.273313 #25498]  INFO -- : (0.060730s) SELECT * FROM `groups` WHERE (`groups`.`id` = 1037008) LIMIT 1
I, [2011-08-22T14:31:55.327315 #25498]  INFO -- : (0.051356s) SELECT COUNT(*) AS `count` FROM (SELECT * FROM `group_audits` WHERE ((`video_id` = 4795104) AND (`group_audits`.`action` = 'review_video')) UNION SELECT * FROM `group_audits` WHERE ((`video_id` = 4795104) AND (`group_audits`.`action` = 'add_video') AND (length(`group_audits`.`text`) > 0))) AS `t1` LIMIT 1
I, [2011-08-22T14:31:55.370628 #25498]  INFO -- : (0.042317s) SELECT * FROM `users` WHERE (`users`.`id` = 995861) LIMIT 1
I, [2011-08-22T14:31:55.403972 #25498]  INFO -- : (0.030432s) SELECT COUNT(*) AS `count` FROM `tags` INNER JOIN `video_taggings` ON ((`video_taggings`.`tag_id` = `tags`.`id`) AND (`video_taggings`.`record_id` = 4795104)) LIMIT 1
I, [2011-08-22T14:31:55.444518 #25498]  INFO -- : (0.039260s) SELECT COUNT(*) AS `count` FROM `users` INNER JOIN `groupvideos` ON ((`groupvideos`.`user_id` = `users`.`id`) AND (`groupvideos`.`video_id` = 4795104)) LIMIT 1
I, [2011-08-22T14:31:55.484118 #25498]  INFO -- : (0.038437s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383168) LIMIT 1
I, [2011-08-22T14:31:55.528382 #25498]  INFO -- : (0.042160s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383168) LIMIT 1
I, [2011-08-22T14:31:55.570989 #25498]  INFO -- : (0.040438s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383168) LIMIT 1
I, [2011-08-22T14:31:55.614540 #25498]  INFO -- : (0.042113s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383168) LIMIT 1
I, [2011-08-22T14:31:55.657753 #25498]  INFO -- : (0.040814s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4795075) LIMIT 1
